source_url,target_url,wordpress_attachment_id,product_name,product_slug,filename,alt_text,position
https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-4.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8862-ragu-vegano-ugolini-gourmet-4.jpg,110,Ragù vegano con soia 180 gr,ragu-vegano,8862-ragu-vegano-ugolini-gourmet-4.jpg,Ragù vegano con soia 180 gr,1
https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-3.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8862-ragu-vegano-ugolini-gourmet-3.jpg,109,Ragù vegano con soia 180 gr,ragu-vegano,8862-ragu-vegano-ugolini-gourmet-3.jpg,Ragù vegano con soia 180 gr — immagine prodotto 2,2
https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-2.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8862-ragu-vegano-ugolini-gourmet-2.jpg,108,Ragù vegano con soia 180 gr,ragu-vegano,8862-ragu-vegano-ugolini-gourmet-2.jpg,Ragù vegano con soia 180 gr — immagine prodotto 3,3
https://ugolinigourmet.it/wp-content/uploads/2023/01/8862-ragu-vegano-ugolini-gourmet-1.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8862-ragu-vegano-ugolini-gourmet-1.jpg,107,Ragù vegano con soia 180 gr,ragu-vegano,8862-ragu-vegano-ugolini-gourmet-1.jpg,Ragù vegano con soia 180 gr — immagine prodotto 4,4
https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-1.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8756-bruschetta-piccantina-ugolini-gourmet-1.jpg,37,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr",bruschetta-piccantina,8756-bruschetta-piccantina-ugolini-gourmet-1.jpg,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr",1
https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-2.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8756-bruschetta-piccantina-ugolini-gourmet-2.jpg,38,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr",bruschetta-piccantina,8756-bruschetta-piccantina-ugolini-gourmet-2.jpg,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr — immagine prodotto 2",2
https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-3.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8756-bruschetta-piccantina-ugolini-gourmet-3.jpg,39,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr",bruschetta-piccantina,8756-bruschetta-piccantina-ugolini-gourmet-3.jpg,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr — immagine prodotto 3",3
https://ugolinigourmet.it/wp-content/uploads/2023/01/8756-bruschetta-piccantina-ugolini-gourmet-4.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/8756-bruschetta-piccantina-ugolini-gourmet-4.jpg,40,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr",bruschetta-piccantina,8756-bruschetta-piccantina-ugolini-gourmet-4.jpg,"Bruschetta piccantina, salsa di pomodoro piccante senza glutine 180 gr — immagine prodotto 4",4
https://ugolinigourmet.it/wp-content/uploads/2023/01/9272-salsa-al-tartufo-nero-ugolini-gourmet-1-scaled.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/9272-salsa-al-tartufo-nero-ugolini-gourmet-1-scaled-1.jpg,124,"Salsa tartufata, salsa al tartufo nero senza glutine 180 gr",salsa-tartufata,9272-salsa-al-tartufo-nero-ugolini-gourmet-1-scaled.jpg,"Salsa tartufata, salsa al tartufo nero senza glutine 180 gr",1
https://ugolinigourmet.it/wp-content/uploads/2023/01/9272-salsa-al-tartufo-nero-ugolini-gourmet-2-scaled.jpg,https://ugolinigroup.com/wp-content/uploads/2026/08/9272-salsa-al-tartufo-nero-ugolini-gourmet-2-scaled-1.jpg,125,"Salsa tartufata, salsa al tartufo nero senza glutine 180 gr",salsa-tartufata,9272-salsa-al-tartufo-nero-ugolini-gourmet-2-scaled.jpg,"Salsa tartufata, salsa al tartufo nero senza glutine 180 gr — immagine prodotto 2",2
